,News Agency,Tweets Ago,Date,Compound,Positive,Neutral,Negative,Tweet
101,@CBSNews,2,Sat Mar 31 15:22:01 +0000 2018,-0.7003,0.0,0.244,0.756,"Israel will target militant groups inside Gaza if violence along the territory's border with Israel drags on, the c… https://t.co/tQ9Wxho1hj"
102,@CBSNews,3,Sat Mar 31 15:00:02 +0000 2018,-0.4939,0.056,0.149,0.795,"President Trump is continuing his spat with Amazon, but does the U.S. Postal Service actually lose money on the e-c… https://t.co/A4Lxwm874g"
103,@CBSNews,4,Sat Mar 31 14:40:01 +0000 2018,-0.4019,0.0,0.153,0.847,"Tesla says a vehicle involved in a deadly crash last week was operating on its ""Autopilot"" system… https://t.co/jDV5oosmNE"
104,@CBSNews,5,Sat Mar 31 14:21:01 +0000 2018,-0.128,0.107,0.138,0.755,"President Trump, citing no evidence, claims Amazon uses Washington Post as a ""lobbyist"" https://t.co/psI4KsCeHT https://t.co/XKS8QZD5EW"
105,@CBSNews,6,Sat Mar 31 14:00:48 +0000 2018,-0.2732,0.0,0.11,0.89,Calls for charges against two officers in the shooting of Stephon Clark are intensifying after autopsy contradicts… https://t.co/rP4HajfGn8
106,@CBSNews,7,Sat Mar 31 13:40:01 +0000 2018,0.891,0.384,0.0,0.616,Nobel Peace Prize winner Malala Yousafzai has returned to her Pakistan home for the first time since Taliban milita… https://t.co/IYvSghsHmm
107,@CBSNews,8,Sat Mar 31 13:20:01 +0000 2018,0.5267,0.175,0.0,0.825,A winning ticket for a Mega Millions jackpot estimated at $521 million has been sold in New Jersey… https://t.co/7KeWR2UXfL
108,@CBSNews,9,Sat Mar 31 13:03:03 +0000 2018,0.0,0.0,0.0,1.0,Body camera videos show volunteer officer shooting at driver in South Carolina https://t.co/i7I5lUW7S4 https://t.co/7VCPhJBhA2
109,@CBSNews,10,Sat Mar 31 12:57:27 +0000 2018,0.802,0.286,0.0,0.714,RT @CBSThisMorning: UPDATE: #MegaMillions says a single winning ticket was sold in New Jersey. Friday's jackpot winner will receive an esti…
110,@CBSNews,11,Sat Mar 31 12:48:03 +0000 2018,0.0,0.0,0.0,1.0,"5 ways the ""Roseanne"" reboot embraces modern America https://t.co/iQ8Jmk7Yy8 https://t.co/8j9rBh1f8M"
111,@CBSNews,12,Sat Mar 31 12:33:04 +0000 2018,-0.7717,0.0,0.34,0.66,Suspect in slaying of off-duty officer in Kentucky killed by deputies after manhunt https://t.co/R15V0kEPWe https://t.co/7yKRIdVWZK
